artifact	experiment	entry_point	parameters	numerical_outputs	artifact_sha256
Fig3_simulation_observation/Figure_E6_repeat_metric_distributions.pdf	E6	experiments/run_simulation.py	configs/simulation.yaml	repeat_state_scores.tsv;repeat_metrics.tsv;paired_comparison_summary.tsv	2f3377c6095db56f01fae6f365f641e47db06439da25e1c96599eb2eb7ffe511
Fig3_simulation_observation/Figure_E6_state_level_calibration.pdf	E6	experiments/run_simulation.py	configs/simulation.yaml	repeat_state_scores.tsv;repeat_metrics.tsv;paired_comparison_summary.tsv	fc482093be17a7f121db6f7af7431a2c8e2af3712d622cd8261b082ee91432ee
Fig3_simulation_observation/Figure_E9_dwell_observation_separation.pdf	E9	sirdwell_experiments.e09	src/sirdwell_experiments/parameters/experiment_09.yaml	state_recovery_long.tsv;repeat_metrics.tsv;repeat_curves.tsv	f8c3d96d3d66f144bc85916c478b788a5167a5e8a5caf204468d2015430f6fc9
Fig3_simulation_observation/Figure_E9_high_omega_detection_roc.pdf	E9	sirdwell_experiments.e09	src/sirdwell_experiments/parameters/experiment_09.yaml	state_recovery_long.tsv;repeat_metrics.tsv;repeat_curves.tsv	6e861a6e1902581b13a698607621ebadb11b0dd7728604c466077f834485987c
Fig3_simulation_observation/Figure_E9_observation_weight_recovery.pdf	E9	sirdwell_experiments.e09	src/sirdwell_experiments/parameters/experiment_09.yaml	state_recovery_long.tsv;repeat_metrics.tsv;repeat_curves.tsv	2234e375dfda1d5a0b669e3c6b25885eaf38a0e5c600bbf0b3af3f5f80bb5337
Fig3_simulation_observation/Figure_E9_progression_expected_vs_observed_occupancy.pdf	E9	sirdwell_experiments.e09	src/sirdwell_experiments/parameters/experiment_09.yaml	state_recovery_long.tsv;repeat_metrics.tsv;repeat_curves.tsv	84526122628a172fdb8044eed76739de0fc1d40ed766a47ae8c20cbbb86092db
Fig4_validation_ablation/Figure_E11_information_landscape_three_cohorts.pdf	E11	experiments/run_secondary.py	configs/secondary.yaml	information_gain_summary.tsv;state_scores.tsv	f459e3e4c8be7ab00965e8931fda97ebd76b889eac65494e6201d0234a08647b
Fig4_validation_ablation/Figure_E11_rank_correlation_forest.pdf	E11	experiments/run_secondary.py	configs/secondary.yaml	information_gain_summary.tsv;state_scores.tsv	7eef810fe6f877f4d55b98601346792d281466504ad8aae2436dd5e012172d22
Fig4_validation_ablation/Figure_E11_rank_displacement_three_cohorts.pdf	E11	experiments/run_secondary.py	configs/secondary.yaml	information_gain_summary.tsv;state_scores.tsv	9045e5331d2cdcdbe970e02388d9624107a3eb549a326b010f6c228e0e5cfb7e
Fig4_validation_ablation/Figure_E13_split_concordance_three_cohorts.pdf	E13	sirdwell_experiments.e13	src/sirdwell_experiments/parameters/experiment_13.yaml	split_replication_metrics.tsv;representative_split_state_scores.tsv;experiment_13_summary.tsv	2ccea870164d58f1ca6b3ed8f6164e03fca19b3036a12a0a9be6eb5aee2fde71
Fig4_validation_ablation/Figure_E14_backbone_retention_three_cohorts.pdf	E14	experiments/run_secondary.py + experiments/run_simulation.py	configs/secondary.yaml;configs/simulation.yaml	denominator_ablation_details.tsv;denominator_ablation_summary.tsv;paired_comparison_summary.tsv	298129bb59f98f46dbc100d7041dd927aee7ace5df5bb5c48d9a967bc090a0c3
Fig4_validation_ablation/Figure_E14_observed_expected_dwell_three_cohorts.pdf	E14	experiments/run_secondary.py + experiments/run_simulation.py	configs/secondary.yaml;configs/simulation.yaml	denominator_ablation_details.tsv;denominator_ablation_summary.tsv;paired_comparison_summary.tsv	3e27978174bfe7371a883fe494fc87893f697aeca49012b204e0bd3e77b22565
Fig4_validation_ablation/Figure_E14_relative_dwell_rank_lift_three_cohorts.pdf	E14	experiments/run_secondary.py + experiments/run_simulation.py	configs/secondary.yaml;configs/simulation.yaml	denominator_ablation_details.tsv;denominator_ablation_summary.tsv;paired_comparison_summary.tsv	5335558185596ddae05629868b272ebff404391dba4e05342dc066a297ecc99a
Fig4_validation_ablation/Figure_E14_simulation_positive_control.pdf	E14	experiments/run_secondary.py + experiments/run_simulation.py	configs/secondary.yaml;configs/simulation.yaml	denominator_ablation_details.tsv;denominator_ablation_summary.tsv;paired_comparison_summary.tsv	fa85b3cd38e817b32dae9f36a5ed0247d62874fc29f2910507129adafdd968ae
Fig4_validation_ablation/Figure_E15_inflow_pairing_falsification_three_cohorts.pdf	E15	experiments/run_secondary.py	configs/secondary.yaml	inflow_shuffle_replicates.tsv;inflow_shuffle_summary.tsv	e315e37edf850a729692b6f6966e34d43431d755debc49f5dce47ee649344a6d
Fig5_real_topology_longitudinal/Figure_E16_real_topology_COAD.pdf	E16	experiments/run_secondary.py	configs/secondary.yaml	topology_routes.tsv	12d1782c3cd59d0b2b1aef8ce0f8ef0bdca0cfcb3a5d991c4d867044f37780aa
Fig5_real_topology_longitudinal/Figure_E16_real_topology_IDC.pdf	E16	experiments/run_secondary.py	configs/secondary.yaml	topology_routes.tsv	10c1100d76c878a1542cdbd18099dc87e4e7bbbd3e22fa81603abd8c24bff74f
Fig5_real_topology_longitudinal/Figure_E16_real_topology_LUAD.pdf	E16	experiments/run_secondary.py	configs/secondary.yaml	topology_routes.tsv	6d4c9583f55d4fcfc637da7cd365eb2ddfd3a583e7c4c7a1b0640a42991d1ff8
Fig5_real_topology_longitudinal/Figure_E17_minimum_dwell_association.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	a4f27f190bd4ecbf059ef8b2efb89e1ae016acf87bf9fd29f340ef37b1a58be2
Fig5_real_topology_longitudinal/Figure_E17_persistence_AUC_confidence_intervals.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	1df2c42f103dfa7d40469076c747c8d87e212e38c0507836c5b27ba875312570
Fig5_real_topology_longitudinal/Figure_E17_real_topology_CRC_triplets.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	469473da388e26170deb77405f18cbbf70729c5f051636e044c29b5f870a9445
Fig5_real_topology_longitudinal/Figure_E17_real_topology_GLASS.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	08366202ef924367a741cef63fa986bce834ae35fd9902ad85b950d6d6a19c8a
Fig5_real_topology_longitudinal/Figure_E17_real_topology_MNM_WashU.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	d075f1942c19f473828564d6511bf384ab16f452eeb03866ad4737e3c4e179ff
Fig5_real_topology_longitudinal/Figure_E17_top_bottom_persistence.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	985f10783e62d46eea5b33d68341ae3ddb3324b479c1a84c606de3d3ce945ab6
Fig5_real_topology_longitudinal/Table_E17_core_longitudinal_metrics.pdf	E17	sirdwell_experiments.e17 + sirdwell_experiments.e17_tables	configs/longitudinal.yaml;src/sirdwell_experiments/parameters/longitudinal_tables.yaml	dwell_persistence_summary_all.tsv;integrated_longitudinal_metrics_table.tsv;topology_routes_*.tsv	19cd274e2e3f4c3b1c179466541ea604f21c8dbfdbf38e6a6b955f6ff20bfcb1
